Team1, Team2, Score1, Score2, WinningTeam
Los Angeles Angels, Seattle Mariners, 10, 5, 1
Houston Astros, Tampa Bay Rays, 3, 1, 1
Boston Red Sox, Texas Rangers, 6, 8, 2
Atlanta Braves, Toronto Blue Jays, 5, 6, 2
Miami Marlins, Washington Nationals, 2, 7, 2
Colorado Rockies, Arizona D'Backs, 4, 8, 2
Cleveland Indians, Chicago White Sox, 5, 0, 1
Chicago Cubs, Cincinnati Reds, 12, 13, 2
Los Angeles Dodgers, Milwaukee Brewers, 16, 4, 1
Kansas City Royals, Minnesota Twins, 4, 13, 2
Detroit Tigers, New York Yankees, 0, 2, 2
Baltimore Orioles, Oakland Athletics, 5, 7, 2
New York Mets, Philadelphia Phillies, 8, 7, 1
St. Louis Cardinals, Pittsburgh Pirates, 3, 0, 1
San Francisco Giants, San Diego Padres, 7, 1, 1
Los Angeles Angels, Seattle Mariners, 0, 2, 2
Houston Astros, Tampa Bay Rays, 4, 5, 2
Boston Red Sox, Texas Rangers, 3, 5, 2
Atlanta Braves, Toronto Blue Jays, 2, 7, 2
Miami Marlins, Washington Nationals, 1, 3, 2
Tampa Bay Rays, Los Angeles Angels, 7, 3, 1
Cleveland Indians, Kansas City Royals, 8, 6, 1
Texas Rangers, Minnesota Twins, 5, 6, 2
Toronto Blue Jays, Oakland Athletics, 4, 5, 2
Milwaukee Brewers, Philadelphia Phillies, 3, 4, 2
Pittsburgh Pirates, San Diego Padres, 0, 2, 2
Baltimore Orioles, Seattle Mariners, 5, 3, 1
New York Mets, St. Louis Cardinals, 5, 6, 2
Tampa Bay Rays, Los Angeles Angels, 8, 3, 1
Detroit Tigers, Boston Red Sox, 7, 11, 2
Los Angeles Dodgers, Chicago Cubs, 1, 7, 2
Los Angeles Dodgers, Chicago Cubs, 3, 4, 2
Chicago White Sox, Cincinnati Reds, 9, 0, 1
San Francisco Giants, Colorado Rockies, 12, 4, 1
San Francisco Giants, Colorado Rockies, 6, 8, 2
Cleveland Indians, Kansas City Royals, 7, 3, 1
Arizona D'Backs, Miami Marlins, 3, 9, 2
Texas Rangers, Minnesota Twins, 6, 3, 1
Houston Astros, New York Yankees, 3, 7, 2
Toronto Blue Jays, Oakland Athletics, 1, 4, 2
Milwaukee Brewers, Philadelphia Phillies, 5, 6, 2
Pittsburgh Pirates, San Diego Padres, 2, 1, 1
Baltimore Orioles, Seattle Mariners, 2, 5, 2
Atlanta Braves, Washington Nationals, 6, 1, 1
Tampa Bay Rays, Los Angeles Angels, 3, 1, 1
Detroit Tigers, Boston Red Sox, 6, 5, 1
Los Angeles Dodgers, Chicago Cubs, 5, 6, 2
Chicago White Sox, Cincinnati Reds, 0, 1, 2
San Francisco Giants, Colorado Rockies, 5, 6, 2
Cleveland Indians, Kansas City Royals, 5, 4, 1
Arizona D'Backs, Miami Marlins, 0, 8, 2
Texas Rangers, Minnesota Twins, 3, 1, 1
Houston Astros, New York Yankees, 3, 6, 2
Toronto Blue Jays, Oakland Athletics, 9, 4, 1
Milwaukee Brewers, Philadelphia Phillies, 4, 5, 2
Pittsburgh Pirates, San Diego Padres, 2, 4, 2
Baltimore Orioles, Seattle Mariners, 6, 0, 1
New York Mets, St. Louis Cardinals, 1, 4, 2
New York Mets, St. Louis Cardinals, 7, 2, 1
Atlanta Braves, Washington Nationals, 5, 3, 1
Tampa Bay Rays, Los Angeles Angels, 8, 3, 1
Detroit Tigers, Boston Red Sox, 9, 12, 2
Cleveland Indians, Kansas City Royals, 4, 0, 1
Arizona D'Backs, Miami Marlins, 1, 3, 2
Texas Rangers, Minnesota Twins, 4, 3, 1
Houston Astros, New York Yankees, 7, 4, 1
Toronto Blue Jays, Oakland Athletics, 10, 4, 1
Milwaukee Brewers, Philadelphia Phillies, 0, 2, 2
New York Mets, St. Louis Cardinals, 4, 1, 1
Atlanta Braves, Washington Nationals, 3, 2, 1
Los Angeles Dodgers, Los Angeles Angels, 2, 9, 2
Philadelphia Phillies, Atlanta Braves, 12, 2, 1
Boston Red Sox, Baltimore Orioles, 6, 2, 1
Pittsburgh Pirates, Chicago Cubs, 2, 3, 2
Cincinnati Reds, Cleveland Indians, 3, 0, 1
Minnesota Twins, Detroit Tigers, 7, 3, 1
Toronto Blue Jays, Houston Astros, 4, 10, 2
Chicago White Sox, Kansas City Royals, 3, 0, 1
Milwaukee Brewers, Miami Marlins, 1, 6, 2
Washington Nationals, New York Yankees, 11, 4, 1
Arizona D'Backs, New York Mets, 4, 5, 2
Tampa Bay Rays, Oakland Athletics, 1, 2, 2
San Diego Padres, San Francisco Giants, 4, 5, 2
Colorado Rockies, St. Louis Cardinals, 0, 5, 2
Seattle Mariners, Texas Rangers, 5, 4, 1
Los Angeles Dodgers, Los Angeles Angels, 14, 11, 1
Philadelphia Phillies, Atlanta Braves, 7, 8, 2
Boston Red Sox, Baltimore Orioles, 11, 6, 1
Pittsburgh Pirates, Chicago Cubs, 2, 3, 2
Cincinnati Reds, Cleveland Indians, 2, 9, 2
Minnesota Twins, Detroit Tigers, 3, 7, 2
Toronto Blue Jays, Houston Astros, 8, 4, 1
Chicago White Sox, Kansas City Royals, 9, 1, 1
